codProposicao,dataVotacao,nomeProposicao
21571,04/05/2010,PLP 168/1993
21571,04/05/2010,PLP 168/1993
21571,05/05/2010,PLP 168/1993
21571,05/05/2010,PLP 168/1993
21571,05/05/2010,PLP 168/1993
21571,11/05/2010,PLP 168/1993
21571,11/05/2010,PLP 168/1993
21571,11/05/2010,PLP 168/1993
21571,11/05/2010,PLP 168/1993
21571,11/05/2010,PLP 168/1993
21571,11/05/2010,PLP 168/1993
21571,11/05/2010,PLP 168/1993
101666,07/12/2010,PLP 352/2002
101666,08/12/2010,PLP 352/2002
114145,03/02/2010,PEC 47/2003
153275,14/12/2010,PL 2944/2004
284827,02/03/2010,PL 5186/2005
293027,14/04/2010,PLP 277/2005
358126,12/05/2010,PL 1481/2007
358126,12/05/2010,PL 1481/2007
358126,26/05/2010,PL 1481/2007
378478,10/03/2010,PL 2502/2007
378478,10/03/2010,PL 2502/2007
397936,17/03/2010,PLP 374/2008
397936,17/03/2010,PLP 374/2008
414367,02/03/2010,PEC 300/2008
414367,03/03/2010,PEC 300/2008
438409,23/02/2010,PL 5417/2009
438409,23/02/2010,PL 5417/2009
438409,23/02/2010,PL 5417/2009
438409,24/02/2010,PL 5417/2009
438409,24/02/2010,PL 5417/2009
438409,24/02/2010,PL 5417/2009
438409,24/02/2010,PL 5417/2009
438409,24/02/2010,PL 5417/2009
447936,01/12/2010,PL 5940/2009
447937,03/03/2010,PL 5941/2009
447937,03/03/2010,PL 5941/2009
454360,16/03/2010,REQ 5670/2009
463287,09/03/2010,PLP 543/2009
463287,09/03/2010,PLP 543/2009
463287,09/03/2010,PLP 543/2009
463451,06/07/2010,PEC 446/2009
464520,23/03/2010,MPV 472/2009
464520,24/03/2010,MPV 472/2009
464520,24/03/2010,MPV 472/2009
464520,24/03/2010,MPV 472/2009
465329,28/04/2010,MPV 475/2009
465329,04/05/2010,MPV 475/2009
465329,04/05/2010,MPV 475/2009
465331,12/05/2010,MPV 476/2009
465331,26/05/2010,MPV 476/2009
465356,06/04/2010,MPV 477/2009
465356,07/04/2010,MPV 477/2009
465356,13/04/2010,MPV 477/2009
465356,13/04/2010,MPV 477/2009
466305,08/06/2010,MPV 482/2010
469773,14/04/2010,REQ 6467/2010 => PDC 731/2000
469774,14/04/2010,REQ 6468/2010 => PDC 2300/2009
471270,22/06/2010,MPV 483/2010
471270,06/07/2010,MPV 483/2010
471270,06/07/2010,MPV 483/2010
471270,06/07/2010,MPV 483/2010
471270,06/07/2010,MPV 483/2010
474361,03/08/2010,MPV 487/2010
474361,04/08/2010,MPV 487/2010
474361,04/08/2010,MPV 487/2010
475370,16/06/2010,REQ 6752/2010 => MSC 951/2009
476031,16/06/2010,PDC 2600/2010
478001,16/06/2010,REQ 6918/2010 => PL 1986/2003
482426,09/11/2010,MPV 493/2010
482426,09/11/2010,MPV 493/2010
482603,07/07/2010,REQ 7166/2010 => PL 7540/2010
483907,14/12/2010,PEC 507/2010
483907,14/12/2010,PEC 507/2010
483948,23/11/2010,MPV 495/2010
485262,01/12/2010,MPV 501/2010
486701,02/12/2010,REQ 7447/2010 => PLP 591/2010
488165,07/12/2010,REQ 7513/2010 => PLP 352/2002
488578,07/12/2010,REQ 7535/2010 => PL 2944/2004
489010,08/12/2010,REQ 7546/2010 => PL 2944/2004
489410,15/12/2010,PLV 16/2010 MESA => MPV 499/2010
